,timestamp,price,quantity,type,exchange
186,1554086597,3916.82,0.000904,bids,gemini
686,1554086597,4555.0,2.0,asks,gemini
187,1554086597,3915.38,0.0309656,bids,gemini
687,1554086597,4567.89,0.1,asks,gemini
188,1554086597,3915.22,0.02554,bids,gemini
688,1554086597,4571.91,1.0,asks,gemini
189,1554086597,3915.0,0.25287356,bids,gemini
689,1554086597,4575.0,0.5,asks,gemini
190,1554086597,3914.48,0.03156841,bids,gemini
690,1554086597,4578.0,0.25,asks,gemini
191,1554086597,3914.0,0.00620099,bids,gemini
691,1554086597,4588.0,0.05,asks,gemini
192,1554086597,3913.75,0.02213909,bids,gemini
692,1554086597,4599.89,0.0141,asks,gemini
193,1554086597,3912.1,0.00620199,bids,gemini
693,1554086597,4600.0,6.621558,asks,gemini
194,1554086597,3910.23,0.00777216,bids,gemini
694,1554086597,4611.94,0.019824,asks,gemini
195,1554086597,3910.0,0.76575447,bids,gemini
695,1554086597,4621.91,0.31,asks,gemini
196,1554086597,3909.97,0.00777486,bids,gemini
696,1554086597,4630.14,0.015901,asks,gemini
197,1554086597,3909.7,0.75453359,bids,gemini
697,1554086597,4658.34,20.0,asks,gemini
198,1554086597,3909.19,0.05550515,bids,gemini
698,1554086597,4666.59,1.0,asks,gemini
199,1554086597,3908.8,0.5,bids,gemini
699,1554086597,4670.76,0.003055,asks,gemini
200,1554086597,3908.0,1.0,bids,gemini
700,1554086597,4675.0,1.81626801,asks,gemini
201,1554086597,3906.0,0.01024065,bids,gemini
701,1554086597,4679.0,0.05,asks,gemini
202,1554086597,3905.0,0.22944942,bids,gemini
702,1554086597,4680.0,0.02564103,asks,gemini
203,1554086597,3903.28,8.0,bids,gemini
703,1554086597,4688.0,0.05,asks,gemini
204,1554086597,3903.0,0.03804765,bids,gemini
704,1554086597,4689.9,0.125,asks,gemini
205,1554086597,3901.0,1.03170211,bids,gemini
705,1554086597,4700.0,1.00616728,asks,gemini
206,1554086597,3900.99,0.07690355,bids,gemini
706,1554086597,4703.0,0.25706874,asks,gemini
207,1554086597,3900.1,7.692e-05,bids,gemini
707,1554086597,4707.37,3.75,asks,gemini
208,1554086597,3900.01,0.2538,bids,gemini
708,1554086597,4717.37,0.12,asks,gemini
209,1554086597,3900.0,9.73464372,bids,gemini
709,1554086597,4719.71,1.0,asks,gemini
210,1554086597,3896.0,0.12833675,bids,gemini
710,1554086597,4722.93,0.015561,asks,gemini
211,1554086597,3895.0,1.24980723,bids,gemini
711,1554086597,4724.89,0.025821,asks,gemini
212,1554086597,3894.51,0.00128385,bids,gemini
712,1554086597,4750.0,0.3075,asks,gemini
213,1554086597,3894.0,1.01,bids,gemini
713,1554086597,4759.88,0.12345679,asks,gemini
214,1554086597,3891.0,0.25,bids,gemini
714,1554086597,4781.88,0.015387,asks,gemini
215,1554086597,3890.0,0.14135989,bids,gemini
715,1554086597,4785.0,2.0,asks,gemini
216,1554086597,3888.99,0.00840063,bids,gemini
716,1554086597,4785.9,0.033961,asks,gemini
217,1554086597,3888.88,0.02571434,bids,gemini
717,1554086597,4788.0,0.05,asks,gemini
218,1554086597,3888.15,0.00128595,bids,gemini
718,1554086597,4800.0,27.93493564,asks,gemini
219,1554086597,3888.08,0.5,bids,gemini
719,1554086597,4810.01,0.015307,asks,gemini
220,1554086597,3886.17,0.01262762,bids,gemini
720,1554086597,4811.0,0.15,asks,gemini
221,1554086597,3886.0,5.0,bids,gemini
721,1554086597,4838.0,0.05,asks,gemini
222,1554086597,3885.0,0.019,bids,gemini
722,1554086597,4840.0,10.12272727,asks,gemini
223,1554086597,3880.24,0.03066677,bids,gemini
723,1554086597,4850.0,0.25,asks,gemini
224,1554086597,3880.0,0.16269,bids,gemini
724,1554086597,4857.28,0.015141,asks,gemini
225,1554086597,3876.52,0.00438521,bids,gemini
725,1554086597,4865.0,0.3,asks,gemini
226,1554086597,3876.0,0.00773993,bids,gemini
726,1554086597,4865.07,6.45206449,asks,gemini
227,1554086597,3875.45,0.00203,bids,gemini
727,1554086597,4874.5,0.012418,asks,gemini
228,1554086597,3875.25,0.0132843,bids,gemini
728,1554086597,4875.0,2.1,asks,gemini
229,1554086597,3875.1,7.741e-05,bids,gemini
729,1554086597,4876.0,1.75,asks,gemini
230,1554086597,3875.0,0.81236644,bids,gemini
730,1554086597,4878.0,0.05,asks,gemini
231,1554086597,3871.79,0.00439056,bids,gemini
731,1554086597,4888.0,0.3,asks,gemini
232,1554086597,3870.3,0.10199719,bids,gemini
732,1554086597,4888.94,7.0,asks,gemini
233,1554086597,3870.12,0.000914,bids,gemini
733,1554086597,4891.76,1.0,asks,gemini
234,1554086597,3870.0,0.01,bids,gemini
734,1554086597,4900.0,0.50204082,asks,gemini
235,1554086597,3866.0,0.12803931,bids,gemini
735,1554086597,4908.71,0.038912,asks,gemini
236,1554086597,3865.8,0.0569093,bids,gemini
736,1554086597,4912.0,0.40716613,asks,gemini
237,1554086597,3865.0,0.04980595,bids,gemini
737,1554086597,4918.02,0.01497,asks,gemini
238,1554086597,3862.97,0.001297,bids,gemini
738,1554086597,4920.59,0.015202,asks,gemini
239,1554086597,3861.38,1.0,bids,gemini
739,1554086597,4937.37,3.0,asks,gemini
240,1554086597,3861.05,0.02201473,bids,gemini
740,1554086597,4938.0,0.1,asks,gemini
241,1554086597,3860.01,0.07951533,bids,gemini
741,1554086597,4949.49,0.49,asks,gemini
242,1554086597,3860.0,2.17450776,bids,gemini
742,1554086597,4950.0,21.75058823,asks,gemini
243,1554086597,3859.0,0.450894,bids,gemini
743,1554086597,4959.0,0.1,asks,gemini
244,1554086597,3858.95,0.09717669,bids,gemini
